,5200,5400,5600,5800,6000
1000,875.60,898.40,922.80,947.20,972.40
1200,915.20,939.20,964.80,990.00,"1,016.00"
1400,986.00,"1,011.60","1,038.40","1,065.60","1,094.40"
1600,"1,026.40","1,054.00","1,081.20","1,110.00","1,140.00"
1800,"1,066.00","1,094.80","1,123.60","1,153.20","1,183.60"
2000,"1,106.00","1,136.00","1,165.20","1,196.00","1,228.00"
2200,"1,146.00","1,175.60","1,207.20","1,238.40","1,272.00"
2400,"1,189.60","1,220.80","1,253.20","1,286.80","1,320.00"
2600,"1,229.20","1,262.40","1,295.60","1,330.00","1,364.40"
2800,"1,267.60","1,301.20","1,335.20","1,371.60","1,407.60"
3000,"1,309.20","1,343.20","1,379.20","1,416.00","1,453.60"